transformer,encoder,model,split_number,fit_time,score_time,test_r2,train_r2,test_mean_absolute_error,train_mean_absolute_error,test_mean_squared_error,train_mean_squared_error,test_root_mean_squared_error,train_root_mean_squared_error,test_mean_absolute_percentage_error,train_mean_absolute_percentage_error
StandardScaler,SumEncoder,LinearRegression,0,2.13558292388916,0.04686737060546875,0.9962758414399895,0.9963728471980589,0.14353115413997222,0.14326919597021465,0.040873448214386654,0.039600286212277895,0.20217182843904502,0.1989982065554308,66659627673249.92,65253033865851.83
StandardScaler,SumEncoder,LinearRegression,1,2.1614956855773926,0.03999042510986328,0.9962528428830382,0.9963784813523421,0.14335346049157516,0.14331793737858559,0.04096611963989369,0.039577471230637894,0.20240088843652265,0.19894087370532454,65786264306626.195,65427324109432.55
StandardScaler,SumEncoder,LinearRegression,2,2.1762006282806396,0.04000234603881836,0.9963894137831634,0.9963443998379755,0.14356786962008,0.1432476063492193,0.03915939967040073,0.04002903240296302,0.19788734085433746,0.20007256784217825,64288760411712.14,65871875640731.1
StandardScaler,SumEncoder,LinearRegression,3,2.145974636077881,0.04030275344848633,0.996359068023363,0.9963519876355346,0.14322547638954214,0.1433474707582665,0.03964583110960632,0.039906775984267936,0.19911260911757026,0.19976680400974517,65367937835852.49,65366427078430.97
StandardScaler,SumEncoder,LinearRegression,4,2.1462042331695557,0.03975701332092285,0.9964851017443295,0.9963200540504814,0.14298837375289733,0.1434008491835381,0.03867543220984776,0.040150783828222694,0.19666070326795784,0.20037660499225626,65358519046948.18,65493517867531.12
StandardScaler,SumEncoder,DecisionTreeRegressor,0,7.961071491241455,0.09155535697937012,0.999312686274425,0.9999999766529829,0.057293958384349974,2.1761782723946165e-06,0.007543417262353994,2.548965014974486e-07,0.08685284832608539,0.0005048727577295577,0.006579737745576139,2.5945096360634283e-07
StandardScaler,SumEncoder,DecisionTreeRegressor,1,7.963286638259888,0.09477519989013672,0.9993275341511972,0.999999970107749,0.057238580707761756,2.477160868816952e-06,0.007351791119485621,3.2667502724471547e-07,0.0857425863820635,0.0005715549205848161,0.006571910889852217,2.974420823636068e-07
StandardScaler,SumEncoder,DecisionTreeRegressor,2,8.002264261245728,0.09197998046875,0.9993151880119592,0.9999999759384861,0.057248236550797194,2.2225339569137125e-06,0.007427277657494973,2.6347496331153826e-07,0.08618165499394273,0.0005132981232300954,0.006572188034246394,2.656965777800504e-07
StandardScaler,SumEncoder,DecisionTreeRegressor,3,7.955585718154907,0.1004185676574707,0.9993258350841905,0.9999999730308791,0.057203008753249525,2.336367807686371e-06,0.007340930444103761,2.950238541079611e-07,0.08567922994579119,0.0005431609836024317,0.006565448210078172,2.843088841842369e-07
StandardScaler,SumEncoder,DecisionTreeRegressor,4,7.989958047866821,0.09117484092712402,0.9993188523764664,0.9999999761523448,0.057087850522532076,2.1811435218424805e-06,0.007494862389365353,2.601945950824656e-07,0.08657287328814582,0.0005100927318463434,0.006554806640667498,2.6505680145202417e-07
