transformer,encoder,model,split_number,fit_time,score_time,test_r2,train_r2,test_mean_absolute_error,train_mean_absolute_error,test_mean_squared_error,train_mean_squared_error,test_root_mean_squared_error,train_root_mean_squared_error,test_mean_absolute_percentage_error,train_mean_absolute_percentage_error
MinMaxScaler,HelmertEncoder,GradientBoostingRegressor,3,120.64500212669373,0.3030884265899658,0.9858833800165392,0.9858409253799129,0.2117791825164998,0.21210187060121746,0.08618352611401714,0.08686614282151395,0.2935703086383518,0.29473062755932566,24660230498075.113,24798597684307.625
MinMaxScaler,HelmertEncoder,GradientBoostingRegressor,4,124.71414613723755,0.302065372467041,0.9859289805157914,0.9857113216292528,0.21213961779424512,0.21270467745653848,0.08683305545801381,0.08742547322513286,0.2946744906808423,0.29567798907786974,24588778377643.39,24843156570744.797
MinMaxScaler,SumEncoder,LinearRegression,0,2.626821756362915,0.07258248329162598,0.9821506134426837,0.9821762031106801,0.24698504376601116,0.24711842626943606,0.10990973799822001,0.10911521269668908,0.3315263760219087,0.33032591889933355,88118227778792.5,87260926150655.3
MinMaxScaler,SumEncoder,LinearRegression,1,2.538252592086792,0.05060148239135742,0.9820626991050462,0.9821981780154301,0.2475036451842393,0.24704332717857191,0.10992755048536582,0.10911075574787946,0.3315532392925242,0.3303191725405588,88155463140148.23,87438300707454.67
MinMaxScaler,SumEncoder,LinearRegression,2,2.4705710411071777,0.06903219223022461,0.9820603932133696,0.9821983636519188,0.2474863800041564,0.24696228567913928,0.109121480448679,0.10931235808570267,0.33033540598712546,0.3306241946465846,86394618865895.0,87566007831669.55
MinMaxScaler,SumEncoder,LinearRegression,3,2.3549394607543945,0.06337118148803711,0.9821748935403808,0.9821699785726064,0.24707592087685826,0.24712544121485358,0.10882424616144655,0.1093874585296237,0.3298852014890128,0.3307377488730667,87427210256238.34,87634056982868.03
MinMaxScaler,SumEncoder,LinearRegression,4,2.516303062438965,0.04042649269104004,0.9823865953617443,0.9821167427946484,0.24652507991894987,0.24717545791697298,0.10869331418910355,0.10941895278330598,0.3296866909493065,0.33078535757089667,87127560259039.16,87290548972223.31
MinMaxScaler,SumEncoder,DecisionTreeRegressor,0,8.138985395431519,0.09756588935852051,0.9961541961741681,0.9999165684957387,0.08281656071788633,0.0010759096947057954,0.02368099819746899,0.0005107579709082998,0.153886315822652,0.022599955108546118,1939960771444.5762,0.00016239817890139455
MinMaxScaler,SumEncoder,DecisionTreeRegressor,1,8.766480445861816,0.0988306999206543,0.99614667672434,0.9999148518829599,0.08282975126059997,0.0010933883712798062,0.023614834327762124,0.0005218890183714558,0.15367118899703394,0.022844890421524367,1721545691364.2126,0.00016503533502301254
MinMaxScaler,SumEncoder,DecisionTreeRegressor,2,8.897858381271362,0.09323859214782715,0.9959694253867052,0.9999186141659571,0.08352339510093215,0.001069996572030755,0.0245168288297919,0.0004997561606160964,0.15657850692158198,0.022355226695699074,1198621263509.1682,0.0001614537107181808
MinMaxScaler,SumEncoder,DecisionTreeRegressor,3,7.853409290313721,0.0902242660522461,0.9961213178928684,0.9999180704120756,0.08314315091562381,0.0010670876024401618,0.023679783195948725,0.0005026392950748045,0.15388236804763802,0.02241961853098318,1384801562708.1455,0.00016096904446562255
MinMaxScaler,SumEncoder,DecisionTreeRegressor,4,7.985873699188232,0.11475801467895508,0.9964042769944021,0.9999215763086832,0.08273316396157036,0.001034651498057063,0.02218940962359825,0.00047983642346292226,0.1489611010418433,0.02190516887547143,1131899675751.2783,0.00015598089529348204
MinMaxScaler,SumEncoder,GradientBoostingRegressor,0,111.10606694221497,0.3100402355194092,0.9856195708356048,0.9856978254267993,0.2129626176625942,0.21254768654061929,0.08854921689803338,0.08755625023504844,0.297572204511835,0.2958990541300334,24859681331277.367,23783767062983.766
MinMaxScaler,SumEncoder,GradientBoostingRegressor,1,106.92267894744873,0.3012862205505371,0.9854677336313555,0.985580870209836,0.21342099126187997,0.2133383838866481,0.08906002381636789,0.0883775913496509,0.29842926099222894,0.29728368833430957,23828308773868.637,23458241861004.938
MinMaxScaler,SumEncoder,GradientBoostingRegressor,2,107.17709040641785,0.3947782516479492,0.9854450829802515,0.9855748394153959,0.2139327307462781,0.21313238894627248,0.08853338380784848,0.08857884120512212,0.29754559954374804,0.2976219770197122,22779337138998.242,23655448714872.195
MinMaxScaler,SumEncoder,GradientBoostingRegressor,3,110.5821225643158,0.31212544441223145,0.9856919580327232,0.9856392916381234,0.21236999144523608,0.21272852147903576,0.08735217849400129,0.08810316896071325,0.2955540195869467,0.2968217797950704,23350298145005.598,23375164300375.098
MinMaxScaler,SumEncoder,GradientBoostingRegressor,4,107.61873888969421,0.31258535385131836,0.9856987841690793,0.9854809747521996,0.21327105623708706,0.21382647153786552,0.08825361010671635,0.08883485372973836,0.2970750916968913,0.2980517635071773,24045648386783.65,24383580655230.38
RobustScaler,OneHotEncoder,LinearRegression,0,2.8713929653167725,0.05976080894470215,0.9821500669762868,0.982176060144026,0.24699395292980283,0.24712510200212856,0.10991310293058384,0.10911608792192638,0.3315314508920441,0.3303272436871146,88158119175751.67,87303927481202.11
RobustScaler,OneHotEncoder,LinearRegression,1,2.8458497524261475,0.06509208679199219,0.9820625562469959,0.9821980686736665,0.24750907128116822,0.24704824674112502,0.10992842598138508,0.1091114259243629,0.3315545595846709,0.33032018697676185,88176939281954.36,87459256295764.69
RobustScaler,OneHotEncoder,LinearRegression,2,2.842683792114258,0.05668759346008301,0.9820604652110996,0.9821983947106114,0.24749681576565952,0.24697376264233442,0.10912104250714626,0.10931216736734056,0.33033474311241656,0.33062390622479276,86471245397252.78,87643538523189.8
RobustScaler,OneHotEncoder,LinearRegression,3,2.8807239532470703,0.05762124061584473,0.982174887127148,0.9821699695588194,0.24707549943188373,0.2471250716580488,0.10882428531494188,0.10938751382934686,0.3298852608331295,0.33073783247361777,87424844838674.36,87631771412603.66
RobustScaler,OneHotEncoder,LinearRegression,4,2.9202659130096436,0.06351184844970703,0.9823858767396683,0.9821162941542656,0.24653609970700557,0.24717858023894915,0.10869774884649683,0.10942169779559886,0.3296934164439697,0.330789506779763,87204426748219.58,87374036995880.14
