P,D,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
8,3,9,1,1.4496412939021703,2370.446745752612,2.1014598809863636,0.23509155338538518,0.008729518301398308,0.903550819300228,2.6346926077892934,873.6892170567523,964.1968428337964
8,3,9,2,1.3507757939088942,2058.1434368227096,1.8245952454102057,0.2214856198695999,0.008739157851025628,0.9201575538045277,2.664141814949622,714.3320260248225,804.8396518018666
8,3,9,3,1.0855625413827246,1329.2871232537448,1.1784460312533178,0.2025239183008563,0.008633549118074608,0.9489209872001277,2.6290854345971595,221.21381883817025,311.72144461521435
8,3,9,4,1.1580752645666013,1512.804023156332,1.3411383184010035,0.2204645858590443,0.00989665724359249,0.9505582927006069,2.6231254684570526,367.08914401403297,457.59676979107707
8,3,9,5,1.2529219710805781,1770.7495892153456,1.5698134656164395,0.23117856830470684,0.010638872032743095,0.9463770905653235,2.620079087818372,544.6792710680832,635.1868968451272
8,3,9,6,1.2422920244420619,1740.830526663378,1.5432894739923604,0.23456119900746117,0.011205763462413518,0.9459587439606708,2.6384223035102847,525.4574289839379,615.965054760982
8,4,9,0,1.6427052086050393,3043.8858938825256,2.698480402378125,0.3008203755693408,0.011010582131697397,0.8454825787751934,2.9489915404530027,1155.7529671185844,1246.2605928956284
8,4,9,1,1.892889094570176,4041.6568522585662,3.5830291243427026,0.269012960333772,0.00977724181470031,0.8355523098047106,2.9859170645783566,1475.5632633159546,1566.0708890929986
8,4,9,2,1.7683612793936845,3527.370621109604,3.1271016144588635,0.2557058366361449,0.009922260462670607,0.8631611898429155,3.0216200511367974,1322.0402152207173,1412.5478409977613
8,4,9,3,1.412852291003472,2251.659000506561,1.9961515961937577,0.22636567711777175,0.009583655862550807,0.913478046318314,2.9878086963979684,815.6974290023574,906.2050547794014
8,4,9,4,1.5057267743009979,2557.41639805929,2.267213118846887,0.24999181397224482,0.011058561008260132,0.9164181010493987,2.98111896635144,959.3259524693419,1049.833578246386
8,4,9,5,1.6321553566398834,3004.914290058923,2.663931108208264,0.27387148484711094,0.01240657062834071,0.9090033690725315,2.9789395310194293,1141.2176622454585,1231.7252880225026
8,4,9,6,1.6172482944929631,2950.275027933569,2.6154920460404,0.26500382334860406,0.012396562698946394,0.908413503940222,2.9912477810538207,1120.5181298087157,1211.0257555857597
