P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
4,0,6,0.3696505536183191,154.13164785949203,0.13664153179032973,0.24130297037871737,0.012501843010413589,0.995215233350886,2.045988587696981,-2235.164813935602,-2210.023806775312
4,0,0,0.3399081166656995,130.3263313304513,0.11553752777522273,0.22516712768958755,0.00847491803171057,0.9933842169723435,2.0573632590808684,-2424.404351398077,-2399.263344237787
4,0,1,0.3205185599159047,115.88186209863777,0.10273214725056544,0.2122036027293378,0.00847435701767989,0.9952849771135318,2.064548776975812,-2556.910854419479,-2531.769847259189
4,0,2,0.3109043672064713,109.03420081820757,0.09666152554805642,0.2071327674475932,0.008750838799243875,0.9957701892120145,2.068246253886347,-2625.6169283185864,-2600.4759211582964
4,0,3,0.3009749777303071,102.180937183888,0.09058593721975891,0.19862494871060973,0.008629890182885663,0.9960736086982147,2.072421219628727,-2698.8427022329097,-2673.7016950726197
4,0,4,0.3591136988627268,145.4698677458605,0.12896264871086927,0.23203823660198497,0.01091357151371301,0.9952457301065566,2.0325637661370854,-2300.406216485887,-2275.265209325597
4,0,5,0.3723738590428788,156.41106413349192,0.13866229089848583,0.2423839205572837,0.01208007089329982,0.995263465609314,2.045761153778027,-2218.6052384875697,-2193.46423132728
4,0,6,0.3696505536183191,154.13164785949203,0.13664153179032973,0.24130297037871737,0.012501843010413589,0.995215233350886,2.045988587696981,-2235.164813935602,-2210.023806775312
4,0,0,0.3399081166656995,130.3263313304513,0.11553752777522273,0.22516712768958755,0.00847491803171057,0.9933842169723435,2.0573632590808684,-2424.404351398077,-2399.263344237787
4,0,1,0.3205185599159047,115.88186209863777,0.10273214725056544,0.2122036027293378,0.00847435701767989,0.9952849771135318,2.064548776975812,-2556.910854419479,-2531.769847259189
4,0,2,0.3109043672064713,109.03420081820757,0.09666152554805642,0.2071327674475932,0.008750838799243875,0.9957701892120145,2.068246253886347,-2625.6169283185864,-2600.4759211582964
4,0,3,0.3009749777303071,102.180937183888,0.09058593721975891,0.19862494871060973,0.008629890182885663,0.9960736086982147,2.072421219628727,-2698.8427022329097,-2673.7016950726197
4,0,4,0.3591136988627268,145.4698677458605,0.12896264871086927,0.23203823660198497,0.01091357151371301,0.9952457301065566,2.0325637661370854,-2300.406216485887,-2275.265209325597
4,0,5,0.3723738590428788,156.41106413349192,0.13866229089848583,0.2423839205572837,0.01208007089329982,0.995263465609314,2.045761153778027,-2218.6052384875697,-2193.46423132728
4,0,6,0.3696505536183191,154.13164785949203,0.13664153179032973,0.24130297037871737,0.012501843010413589,0.995215233350886,2.045988587696981,-2235.164813935602,-2210.023806775312
4,0,0,0.3399081166656995,130.3263313304513,0.11553752777522273,0.22516712768958755,0.00847491803171057,0.9933842169723435,2.0573632590808684,-2424.404351398077,-2399.263344237787
4,0,1,0.3205185599159047,115.88186209863777,0.10273214725056544,0.2122036027293378,0.00847435701767989,0.9952849771135318,2.064548776975812,-2556.910854419479,-2531.769847259189
4,0,2,0.3109043672064713,109.03420081820757,0.09666152554805642,0.2071327674475932,0.008750838799243875,0.9957701892120145,2.068246253886347,-2625.6169283185864,-2600.4759211582964
4,0,0,0.3399081166656995,130.3263313304513,0.11553752777522273,0.22516712768958755,0.00847491803171057,0.9933842169723435,2.0573632590808684,-2424.404351398077,-2399.263344237787
4,0,1,0.3205185599159047,115.88186209863777,0.10273214725056544,0.2122036027293378,0.00847435701767989,0.9952849771135318,2.064548776975812,-2556.910854419479,-2531.769847259189
4,0,2,0.3109043672064713,109.03420081820757,0.09666152554805642,0.2071327674475932,0.008750838799243875,0.9957701892120145,2.068246253886347,-2625.6169283185864,-2600.4759211582964
4,0,0,0.3399081166656995,130.3263313304513,0.11553752777522273,0.22516712768958755,0.00847491803171057,0.9933842169723435,2.0573632590808684,-2424.404351398077,-2399.263344237787
4,0,1,0.3205185599159047,115.88186209863777,0.10273214725056544,0.2122036027293378,0.00847435701767989,0.9952849771135318,2.064548776975812,-2556.910854419479,-2531.769847259189
4,0,2,0.3109043672064713,109.03420081820757,0.09666152554805642,0.2071327674475932,0.008750838799243875,0.9957701892120145,2.068246253886347,-2625.6169283185864,-2600.4759211582964
4,0,0,0.3399081166656995,130.3263313304513,0.11553752777522273,0.22516712768958755,0.00847491803171057,0.9933842169723435,2.0573632590808684,-2424.404351398077,-2399.263344237787
