iter	Passed	Remaining
567	41078	31242
568	41183	31195
569	41261	31127
570	41379	31088
571	41453	31017
572	41520	30941
573	41594	30869
574	41651	30786
575	41721	30711
576	41790	30636
577	41840	30548
578	41919	30480
579	41999	30413
580	42067	30337
581	42140	30265
582	42206	30188
583	42259	30102
584	42331	30030
585	42398	29954
586	42473	29883
587	42588	29840
588	42676	29779
589	42766	29718
590	42858	29660
591	42943	29596
592	43014	29522
593	43088	29450
594	43135	29361
595	43205	29287
596	43290	29222
597	43381	29163
598	43460	29094
599	43536	29024
600	43611	28953
601	43659	28864
602	43722	28785
603	43791	28711
604	43880	28648
605	43968	28586
606	44033	28509
607	44093	28428
608	44157	28350
609	44233	28280
610	44319	28216
611	44391	28143
612	44481	28082
613	44567	28017
614	44667	27962
615	44725	27880
616	44790	27803
617	44862	27730
618	44940	27661
619	45009	27586
620	45078	27511
621	45167	27449
622	45248	27381
623	45345	27323
624	45432	27259
625	45518	27194
626	45588	27120
627	45661	27048
628	45744	26981
629	45824	26912
630	45881	26830
631	45967	26765
632	46076	26714
633	46217	26680
634	46312	26620
635	46392	26551
636	46500	26498
637	46620	26452
638	46696	26380
639	46772	26309
640	46834	26230
641	46907	26157
642	46996	26093
643	47063	26016
644	47139	25945
645	47206	25868
646	47284	25797
647	47358	25725
648	47439	25656
649	47537	25597
650	47598	25517
651	47686	25452
652	47771	25385
653	47840	25309
654	47906	25233
655	47992	25166
656	48060	25090
657	48135	25018
658	48231	24957
659	48297	24880
660	48353	24798
661	48418	24721
662	48478	24641
663	48539	24562
664	48636	24501
665	48693	24420
666	48749	24338
667	48807	24257
668	48872	24180
669	48940	24104
670	49017	24034
671	49071	23951
672	49147	23879
673	49212	23803
674	49276	23725
675	49346	23651
676	49420	23578
677	49482	23500
678	49547	23423
679	49631	23356
680	49702	23282
681	49756	23200
682	49820	23123
683	49892	23049
684	49961	22975
685	50036	22902
686	50106	22828
687	50166	22750
688	50234	22674
689	50305	22600
690	50376	22527
691	50434	22447
692	50505	22373
693	50582	22302
694	50660	22232
695	50714	22151
696	50767	22069
697	50822	21989
698	50879	21909
699	50928	21826
700	50991	21749
701	51053	21672
702	51114	21594
703	51186	21521
704	51253	21446
705	51325	21373
706	51388	21296
707	51441	21216
708	51490	21133
709	51561	21060
710	51618	20981
711	51677	20903
712	51744	20828
713	51830	20761
714	51894	20685
715	51941	20602
716	52009	20528
717	52080	20454
718	52139	20377
719	52213	20305
720	52281	20230
721	52377	20167
722	52492	20111
723	52567	20039
724	52638	19966
725	52698	19888
726	52757	19811
727	52833	19739
728	52883	19659
729	52944	19582
730	53020	19511
731	53085	19435
732	53178	19370
733	53232	19291
734	53311	19221
735	53357	19139
736	53422	19063
737	53491	18990
738	53586	18925
739	53656	18852
740	53722	18777
741	53794	18704
742	53851	18626
743	53920	18553
744	53975	18474
745	54056	18405
746	54101	18323
747	54150	18243
748	54204	18164
749	54280	18093
750	54342	18017
751	54396	17939
752	54449	17860
753	54534	17792
754	54603	17719
755	54689	17651
756	54767	17580
757	54823	17503
758	54889	17428
759	54947	17351
760	54999	17273
761	55067	17199
762	55128	17123
763	55192	17048
764	55259	16975
765	55319	16899
766	55388	16825
767	55455	16752
768	55533	16681
769	55602	16608
770	55673	16535
771	55719	16456
772	55793	16384
773	55863	16311
774	55929	16237
775	56007	16167
776	56079	16094
777	56141	16019
778	56202	15944
779	56284	15875
780	56345	15799
781	56400	15722
782	56469	15649
783	56553	15580
784	56626	15509
785	56694	15435
786	56748	15358
787	56839	15291
788	56898	15216
789	56970	15143
790	57017	15065
791	57085	14992
792	57142	14916
793	57208	14842
794	57278	14769
795	57352	14698
796	57423	14626
797	57488	14552
798	57566	14481
799	57634	14408
800	57703	14335
801	57750	14257
802	57830	14187
803	57897	14114
804	57954	14038
805	58005	13961
806	58074	13889
807	58144	13816
808	58219	13745
809	58267	13667
810	58343	13596
811	58404	13522
812	58457	13445
813	58526	13373
814	58607	13303
815	58674	13230
816	58734	13155
817	58812	13085
818	58890	13014
819	58962	12942
820	59020	12868
821	59080	12793
