P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
2,6,3,0.3154464477335204,112.24328844532178,0.09950646138769667,0.19352392758932035,0.008392731967142048,0.9956869541072776,1.9909620245958406,-2584.896883745784,-2539.643070857262
2,6,4,0.37389286511939385,157.68974653434947,0.1397958745871894,0.2242592752648954,0.010570045260065442,0.9948463580391594,2.0016042431698216,-2201.421169761556,-2156.167356873034
2,6,5,0.38753254401635606,169.40470117377794,0.1501814726717889,0.23293870034960854,0.01162411500862392,0.9948699844381298,2.016303927848409,-2120.5874932979727,-2075.3336804094506
2,6,6,0.38528828163619094,167.44828364183837,0.14844705996616894,0.232373696221286,0.012097774293266778,0.9948018400234634,2.0223308663537045,-2133.690323848497,-2088.436510959975
2,7,0,0.3590776427776924,145.44065799626043,0.12893675354278428,0.22143162977439548,0.008307169773343906,0.9926169652219925,2.0085732511086505,-2290.632736977542,-2240.3507226569623
2,7,1,0.3371787888685591,128.24179622771553,0.1136895356628683,0.20857671998605226,0.008295160658217669,0.9947820738011547,2.0084853368399944,-2432.5922584757836,-2382.3102441552037
2,7,2,0.32480831227976303,119.00449601095964,0.10550043972602818,0.2015733670397354,0.008484855571837403,0.9953834072495732,2.006210959053953,-2516.9172982865784,-2466.6352839659985
2,7,3,0.31382056450762286,111.08921508649212,0.09848334670788317,0.19179771311172933,0.008320223550411537,0.9957313003789269,2.0093140082409366,-2594.554894252192,-2544.272879931612
2,7,4,0.3738171646057103,157.62589944074585,0.13973927255385282,0.22434114193810403,0.010582431030065476,0.994848444700264,2.004238696527683,-2199.87797882567,-2149.5959645050903
2,7,5,0.3845639142854248,166.81924790435505,0.14788940417052754,0.2317097294010072,0.01157519305059601,0.9949482786968766,2.0637991419829214,-2135.935744551964,-2085.653730231384
2,7,6,0.387017690459181,168.95487739758832,0.1497826927283583,0.2330592789218857,0.012134274269957269,0.9947550702675022,2.0102513862952707,-2121.5866784879227,-2071.3046641673427
2,8,0,0.3590857441647495,145.44722083513295,0.1289425716623519,0.22179551850130538,0.00831963313047675,0.9926166320712194,2.019737928769625,-2288.581838450735,-2233.271622698097
2,8,1,0.336998666304492,128.10481803065517,0.11356810109100625,0.20797468700427596,0.008272952209596483,0.9947876471956651,2.0125672465386844,-2431.797746766993,-2376.4875310143548
2,8,2,0.3267939059348468,120.46392184654114,0.10679425695615354,0.20324945323763746,0.008561070949248498,0.99532679111356,1.9914875267218732,-2501.168072068942,-2445.8578563163037
2,8,3,0.3148539256080946,111.82201776309351,0.09913299447082734,0.19229505316638493,0.0083392396836637,0.9957031417993069,1.9952284564536924,-2585.138449720557,-2529.828233967919
2,8,4,0.37671964605602526,160.08315626532283,0.14191769172457697,0.22731715393616406,0.01072353702112187,0.9947681362327953,1.9742703444751752,-2180.4290523996924,-2125.118836647054
2,8,5,0.38914422141325855,170.81667786692557,0.1514332250593313,0.23163847414508598,0.011562549617159834,0.9948272261064032,1.9982658292064475,-2107.224655144251,-2051.9144393916126
2,8,6,0.38592253575429053,168.00003766420843,0.1489362036030215,0.2300687608684164,0.011932712252281643,0.9947847117160624,1.9882715554214665,-2125.9795937063254,-2070.669377953687
2,9,0,0.35921865401130754,145.55491068757652,0.12903804138969543,0.22297366362150847,0.00836522046425484,0.9926111653885409,2.011377477420133,-2285.7469706202774,-2225.4085534355813
2,9,1,0.33720756621629416,128.2636873808465,0.1137089427135165,0.20832361247670955,0.008284835792945285,0.9947811830898202,2.0123040025230092,-2428.399722858653,-2368.061305673957
2,9,2,0.31453457518640565,111.59529485811731,0.09893199898769266,0.19794812828555833,0.00834187668172717,0.9956708355861086,2.125359296547498,-2585.427829371592,-2525.089412186896
2,9,3,0.3140497782236735,111.25155289223788,0.09862726320233864,0.191606595998853,0.008309128406309511,0.995725062407677,2.007774134769449,-2588.907719250637,-2528.569302065941
2,9,4,0.3735863421421774,157.43129967967405,0.13956675503517219,0.22445791493892725,0.010590877468268775,0.9948548046413273,2.0078109866123537,-2197.2714309290764,-2136.9330137443803
2,9,5,0.392931755510565,174.15797114315706,0.15439536448861435,0.23693505671535553,0.011830649313001432,0.9947260430436837,1.9842330161774473,-2083.3732136510766,-2023.0347964663806
2,9,6,0.3875879612092105,169.45315441662444,0.15022442767431204,0.23233007032383407,0.012076071709828868,0.9947396020668062,1.998682364760746,-2114.264908134895,-2053.926490950199
2,10,0,0.36266184190070144,148.35863385187298,0.13152361157080938,0.22506614064500507,0.008447253030897169,0.9924688393985798,1.9896742789680026,-2262.2257054507554,-2196.8590868340016
2,10,1,0.3376806296904946,128.62381824969458,0.114028207668169,0.20920323159726822,0.00832049345049933,0.9947665300176484,2.011836068499544,-2423.2370319742754,-2357.870413357521
3,1,0,0.3604506623595279,146.55503903483643,0.12992467999542232,0.22068437597418022,0.00827890924652191,0.9925603956624408,1.9806106516402082,-2292.0228298642155,-2266.8818227039255
3,1,1,0.33649948961573706,127.72559054514295,0.1132319065116517,0.20628066857127889,0.008205868706381519,0.9948030772745489,2.000716341992878,-2447.1419068248656,-2422.0008996645756
3,1,2,0.32424951580091976,118.59538030476367,0.10513774849713103,0.19894260975076986,0.008370382459792495,0.9953992782516498,1.9994995758486438,-2530.801837115624,-2505.660829955334
3,1,3,0.31294504876804674,110.47023280263484,0.09793460354843496,0.18909080521834293,0.008195022116501107,0.995755085311051,2.007894241548964,-2610.8576165181967,-2585.7166093579067
3,1,4,0.3733641446754318,157.2440849489565,0.1394007845292166,0.2205884475496773,0.010376792852768674,0.9948609232236264,1.9818455878108125,-2212.61362832666,-2187.47262116637
3,1,5,0.3860410846534475,168.1032670775827,0.14902771904041034,0.22897825849026304,0.01139033521153308,0.9949093952521153,1.9999599006428217,-2137.28669494392,-2112.14568778363
3,1,6,0.38535443368017175,167.50578862025753,0.14849803955696583,0.22774713396188337,0.01179061425920218,0.9948000548748147,1.9958986238427592,-2141.303013338398,-2116.162006178108
3,2,0,0.3596572516799977,145.9105660378184,0.12935333868600912,0.22001253368713924,0.008253643979959266,0.9925931111810311,1.9944732150888151,-2294.9941270334884,-2264.82491844114
3,2,1,0.33766514665704644,128.61202342909104,0.11401775126692452,0.20724035291408466,0.00823850480668662,0.9947670099275159,1.9987512002787768,-2437.3404744616323,-2407.171265869284
3,2,2,0.3241218215185619,118.50198944812784,0.10505495518451065,0.20066689432790086,0.008444370914972299,0.9954029012034386,1.9950836782465995,-2529.690458460037,-2499.5212498676888
3,2,3,0.3123335827302765,110.03895706447517,0.09755226690113054,0.1890576122137303,0.008197714919116783,0.9957716574560483,2.0162242970924007,-2613.2699464826323,-2583.100737890284
3,2,4,0.3720382899602335,156.12928781369126,0.13841248919653487,0.2199510615764745,0.010346958269718601,0.9948973572050386,2.0001395887049975,-2218.6391760119377,-2188.4699674195895
3,2,5,0.3858821105668722,167.9648436722534,0.14890500325554387,0.22800567509026598,0.011345709560175892,0.994913587073349,2.0206184612151765,-2136.215920925482,-2106.0467123331337
3,2,6,0.38590265632285603,167.982730257137,0.14892086015703615,0.22848573972363231,0.011832160213355881,0.9947852489964022,1.9938126440939037,-2136.0958065425652,-2105.926597950217
3,3,0,0.3579305201301546,144.51288216744533,0.1281142572406429,0.2190101243035357,0.008219018510826,0.9926640621019482,2.019183378117684,-2303.8513741834417,-2268.6539641590357
