P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,durbin_watson,aic,bic
2,9,0.3541595189285191,142.52969586546197,0.12635611335590596,0.21636786319439233,0.00968552283376227,0.9947298137462806,2.021077325544377,-2326.198827830887,-2265.8604106461908
2,10,0.35017123579559806,138.49122605078378,0.1227759096194892,0.21713468612113665,0.00838387324069825,0.9936176847081141,2.0007551737337734,-2342.731368712515,-2277.3647500957613
3,1,0.3541291970790404,142.3141976191678,0.12616506881131898,0.21318747135948507,0.009515417836100137,0.9947268871214637,1.9952035604752982,-2338.861075275983,-2313.7200681156933
3,2,0.3539429799194063,142.1629139603706,0.12603095209252713,0.213345695647604,0.009522723237712192,0.9947329818632605,2.002729012102953,-2338.0351299882536,-2307.865921395905
3,3,0.35493988972595053,142.97013736391793,0.12674657567723216,0.21532324112047013,0.009642595548552851,0.9947091577962388,2.001808250392078,-2329.7012391528333,-2294.5038291284277
3,4,0.3562955191003939,143.78689729217146,0.12747065362781157,0.2153687576060453,0.009605194748015902,0.9946530055063515,1.9799895598041144,-2316.887675308155,-2276.662063851691
3,5,0.3537710653914306,141.98995989237804,0.12587762401806563,0.2147714957269289,0.00958943989947536,0.9947373882458127,2.0156367642950674,-2332.8528783585716,-2287.5990654700495
3,6,0.35412044165960366,142.31070320277624,0.126161970924447,0.2147218355374523,0.009591399572154349,0.9947289466308654,2.013912872688121,-2328.9391395889706,-2278.6571252683907
3,7,0.35462595071183195,142.83547234310694,0.12662719179353457,0.21502656105129972,0.009610475931054407,0.99471596003446,2.0088471661472123,-2324.649843202866,-2269.339627450228
3,8,0.35513166541095126,143.11473287285637,0.12687476318515642,0.21542010892828342,0.009627655438664796,0.9946964090106366,2.0068196888638767,-2318.433799125659,-2258.095381940963
3,9,0.35591607250121765,143.77852105204875,0.12746322788302195,0.21655138402188648,0.009680098693255578,0.9946714120151191,2.0057693292930816,-2311.715455180317,-2246.3488365635626
3,10,0.34916581064947966,137.6536556306312,0.12203338265126892,0.21650400117470794,0.008361896084712252,0.9936628382807746,2.012613831763934,-2346.8615803292932,-2276.466760280481
4,1,0.3546868107468229,142.7890439653615,0.12658603188418568,0.21416994024566363,0.009560398501758055,0.9947114526225145,1.996058670693953,-2333.5222540672617,-2303.353045474914
4,2,0.3539970039914942,142.22691593756335,0.12608769143401008,0.21321941357670596,0.009521000282423786,0.9947324573628656,2.0000937542098347,-2335.848401512521,-2300.6509914881153
4,3,0.35482409774293266,142.8258454722373,0.12661865733354372,0.21580762163966608,0.009646530718861627,0.9947022420825118,2.0055833528051092,-2328.074987525833,-2287.8493760693696
4,4,0.35441779632036835,142.5221829675276,0.12634945298539674,0.21459118176836425,0.009577578141365523,0.9947170286468522,2.0044799584633397,-2328.84187497218,-2283.5880620836574
4,5,0.3584917275671126,145.79974970192396,0.12925509725347872,0.21788598146124424,0.009739532037047974,0.9946059232253611,1.9604749287739769,-2300.8404823937813,-2250.5584680732013
4,6,0.35521387869447246,143.11738302695264,0.1268771126125466,0.21558698649978586,0.009637782062362165,0.9946970717843572,1.9953931957994302,-2319.3718554069874,-2264.0616396543487
4,7,0.34538979733337577,134.68002805618565,0.11939718799307256,0.21373476225701057,0.008257116776744667,0.9938018102163538,2.0299187444267903,-2375.287275775616,-2314.94885859092
4,8,0.3484699422231182,137.15074447060408,0.1215875394242944,0.21568480627932518,0.0083325518827185,0.9936791852393367,2.0092324021093755,-2353.7349165116957,-2288.3682978949414
4,9,0.3490073553815336,137.574959663893,0.12196361672330958,0.21609352168837137,0.008345013049324262,0.9936595144095539,2.007076228841999,-2348.2654366636925,-2277.8706166148804
4,10,0.3501558845155776,138.44419098558984,0.12273421186665764,0.21673596525971311,0.00837058325581239,0.9936250394878793,1.9989023707271665,-2338.5453618938664,-2263.1223404129964
5,1,0.3542600627098122,142.39879669226798,0.12624006798959928,0.21442213590885992,0.00957105017176702,0.9947221539590442,2.0022564397058096,-2333.85498727661,-2298.6575772522033
5,2,0.3548789809916096,142.94399194710124,0.12672339711622446,0.21518046476197367,0.009609437123706838,0.9947020960197691,1.9967828115020108,-2328.3255715405894,-2288.099960084125
5,3,0.35426544008533317,142.37398451072605,0.12621807137475716,0.21532042325035058,0.009625076363127013,0.9947249902399532,2.008142208059279,-2329.5853554771593,-2284.3315425886367
5,4,0.35565810177217677,143.56765574875465,0.12727629055740658,0.21489790001887316,0.00960208850644583,0.9946842066223114,1.9922872347547051,-2319.3096215153937,-2269.0276071948138
5,5,0.3560872646984716,143.91783275844176,0.12758673116883132,0.21620781777055562,0.009675776109543122,0.9946710335571216,1.9935514703820285,-2314.598524866477,-2259.2883091138387
5,6,0.3568764604677734,144.34565387173615,0.1279660052054398,0.21680438548838987,0.009681746979361153,0.9946460526098829,1.9777784981363862,-2305.925270204703,-2245.586853020007
5,7,0.34996722727248475,138.30989415792965,0.12261515439532772,0.21628088618825717,0.008350572004367443,0.993628945398308,2.0005565128265586,-2343.882516328656,-2278.515897711902
5,8,0.3420172946822356,132.1521494717733,0.11715616087923163,0.21265897399071185,0.008454656991852109,0.994209315011419,2.004674353737059,-2394.1770987246905,-2323.7822786758784
5,9,0.34842861757643495,137.14082627200705,0.12157874669504187,0.21606113914859026,0.008343636277389686,0.9936765711241167,2.010902205958998,-2350.1889556259694,-2274.765934145099
5,10,0.35079754389079265,138.97531983372238,0.12320507077457675,0.21769359832897822,0.008406374664577578,0.9935970596949908,1.994095721702681,-2332.60431440068,-2252.1530914877517
6,1,0.3542896299788155,142.37332867164946,0.12621748995713608,0.21420031457194227,0.009558366177547486,0.9947203426763318,2.002368924602599,-2331.272638707805,-2291.0470272513408
6,2,0.3541152857694578,142.25726566240533,0.12611459721844442,0.21501892486749488,0.00961103243225074,0.9947310950146347,2.0081753883329307,-2330.568114561239,-2285.3143016727167
6,3,0.3555728544133675,143.48302071477048,0.12720125949890998,0.21634225959132672,0.009674815239793562,0.9946816789311315,1.9983618547172388,-2319.732054625957,-2269.4500403053776
6,4,0.353755303408435,142.04908646124434,0.1259300411890464,0.21410355030546638,0.009571406214328742,0.9947428713127947,2.0182167052758153,-2329.505369280873,-2274.195153528235
6,5,0.34934583362543636,137.78842292116443,0.12215285719961397,0.21486668049764207,0.008296098426451848,0.993657823019547,1.99443001819699,-2349.6395795270364,-2289.301162342341
6,6,0.3481997281531135,136.9224822038506,0.12138517925873281,0.215133429017221,0.008305017847118526,0.993691947454545,2.0077975952843237,-2355.3557837647586,-2289.9891651480048
